,tide_level
0,4.726363636363636
1,6.277272727272727
2,5.462727272727272
3,4.129090909090909
4,5.45090909090909
5,4.72
6,3.537272727272727
7,4.640909090909091
8,3.9681818181818174
9,2.9354545454545455
10,3.8463636363636367
11,3.3236363636363637
12,2.152727272727273
13,3.2199999999999993
14,2.741818181818182
15,2.0327272727272727
16,2.651818181818182
17,2.248181818181818
18,1.6536363636363638
19,2.1345454545454547
20,1.8154545454545454
21,1.3636363636363635
22,1.7899999999999998
23,1.5572727272727271
24,1.2054545454545456
25,1.6409090909090909
26,1.4872727272727269
27,1.1963636363636363
28,1.6972727272727268
29,1.630909090909091
30,1.3981818181818182
31,2.04
32,2.0045454545454544
33,1.8127272727272725
34,2.7263636363636365
35,2.727272727272727
36,2.4472727272727273
37,3.6427272727272735
38,3.61
39,3.221818181818182
40,4.77
41,4.681818181818182
42,4.087272727272727
43,5.953636363636363
44,5.7299999999999995
45,4.8936363636363645
46,7.018181818181817
47,6.662727272727272
48,5.584545454545455
49,7.911818181818182
50,7.411818181818182
51,6.136363636363637
52,8.623636363636363
53,7.99
54,6.523636363636364
55,9.117272727272727
56,8.401818181818182
57,6.837272727272728
58,9.484545454545454
59,8.669090909090908
60,6.957272727272727
61,9.547272727272729
62,8.639999999999999
63,6.840000000000001
64,9.32909090909091
65,8.375454545454547
66,6.5590909090909095
67,8.869090909090907
68,7.899090909090909
69,6.130909090909091
70,8.217272727272727
71,7.2318181818181815
72,5.515454545454545
73,7.329999999999998
74,7.013636363636365
75,6.736363636363637
76,6.459090909090909
77,5.6463636363636365
78,0.0
79,1.5190909090909093
80,4.917272727272728
81,3.6981818181818182
82,4.869090909090908
83,4.204545454545454
84,3.135454545454545
85,4.1063636363636355
86,3.521818181818182
87,2.6227272727272726
88,3.4400000000000004
89,2.9781818181818185
90,2.248181818181818
91,2.9590909090909094
92,2.584545454545454
93,1.9672727272727273
94,2.610909090909091
95,2.2654545454545456
96,1.7245454545454548
97,2.309090909090909
98,2.2472727272727275
99,2.1781818181818178
100,2.105454545454545
101,2.0618181818181816
102,2.0645454545454545
103,2.0518181818181813
104,2.0309090909090908
105,2.0418181818181815
106,2.1154545454545453
107,2.2381818181818183
108,2.3636363636363638
109,2.5854545454545454
110,2.559090909090909
111,2.3045454545454542
112,3.429090909090909
113,3.460909090909091
114,3.158181818181818
115,4.696363636363636
116,4.64
117,4.1054545454545455
118,6.034545454545455
119,5.816363636363636
120,4.973636363636364
121,7.1445454545454545
122,6.791818181818183
123,5.736363636363635
124,8.120909090909091
125,7.590909090909091
126,6.2763636363636355
127,8.833636363636366
128,8.16909090909091
129,6.6790909090909105
130,9.30818181818182
131,9.443636363636363
132,9.549090909090909
133,9.648181818181818
134,9.67
135,9.674545454545454
136,9.608181818181817
137,9.518181818181818
138,9.391818181818183
139,9.208181818181819
140,8.227272727272727
141,6.428181818181819
142,8.656363636363636
143,7.672727272727273
144,5.88909090909091
145,7.836363636363635
146,7.543636363636366
147,7.231818181818183
148,6.896363636363635
149,5.992727272727273
150,1.6718181818181819
151,5.935454545454545
152,5.108181818181818
153,3.811818181818182
154,4.999090909090909
155,4.315454545454545
156,3.2163636363636368
157,4.173636363636363
158,3.5690909090909098
159,2.6363636363636362
160,3.4136363636363636
161,2.894545454545455
162,2.119090909090909
163,2.7263636363636365
164,2.2918181818181815
165,1.6627272727272726
166,2.1154545454545453
167,1.7581818181818185
168,1.2454545454545454
169,1.5736363636363635
170,1.2963636363636364
171,0.9027272727272727
172,1.1227272727272728
173,0.9190909090909094
174,0.6354545454545454
175,0.8254545454545457
176,0.729090909090909
177,0.5872727272727274
178,0.8454545454545453
179,0.860909090909091
180,0.7790909090909092
181,1.2481818181818183
182,1.332727272727273
183,1.319090909090909
184,2.117272727272727
185,2.2718181818181815
186,2.208181818181818
187,3.4272727272727277
188,3.5127272727272727
189,3.2281818181818185
190,4.837272727272727
191,4.818181818181818
192,4.256363636363637
193,6.222727272727273
194,6.007272727272729
195,5.128181818181819
196,7.345454545454547
197,6.976363636363637
198,5.844545454545455
199,8.248181818181818
200,7.706363636363637
201,6.375454545454545
202,8.92818181818182
203,8.241818181818182
204,0.0
205,2.5736363636363637
206,8.653636363636364
207,7.010909090909092
208,9.700000000000001
209,8.848181818181816
210,7.080000000000001
211,9.66909090909091
212,8.700000000000001
213,6.864545454545455
214,9.342727272727272
215,8.357272727272727
216,6.523636363636364
217,8.812727272727273
218,8.621818181818183
219,8.384545454545455
220,8.094545454545454
221,7.080000000000001
222,0.0
223,1.9090909090909092
224,6.21
225,4.7
226,6.204545454545454
227,5.399090909090909
228,4.064545454545454
229,5.33
230,4.590000000000001
231,3.4263636363636363
232,4.464545454545455
233,4.193636363636364
234,3.9427272727272724
235,3.688181818181818
236,3.1290909090909094
237,2.289090909090909
238,2.9618181818181815
239,2.541818181818182
240,1.869090909090909
241,2.3963636363636365
242,2.02
243,1.448181818181818
244,1.8436363636363637
245,1.5300000000000002
246,1.0972727272727274
247,1.3918181818181818
248,1.1690909090909092
249,0.8645454545454545
250,1.141818181818182
251,0.9690909090909091
252,0.8172727272727273
253,1.1763636363636363
254,1.1654545454545455
255,1.0527272727272727
256,1.5963636363636367
257,1.6381818181818177
258,1.5572727272727271
259,2.42
260,2.5118181818181817
261,2.3972727272727274
