time	observations
1	0.886773095
2	1.491821662
3	1.182185694
4	2.597640401
5	2.164753886
6	1.789765808
7	2.643714526
8	2.969162353
9	3.087890676
10	2.847305806
11	3.955890584
12	3.594921618
13	3.28937971
14	2.692650056
15	4.562465459
16	4.177533195
17	4.391904868
18	5.071918105
19	5.210610598
20	5.296950661
21	5.659488686
22	5.79106815
23	5.637282492
24	4.805324152
25	6.309912874
26	6.17193563
27	6.322102247
28	5.864623808
29	6.560924972
30	7.20897078
31	7.879339776
32	7.348606136
33	7.793835806
34	7.77309748
35	7.311470222
36	7.992502718
37	8.202855023
38	8.570343302
39	9.350012686
40	9.381587874
41	9.117738202
42	9.27331916
43	9.948481688
44	10.0783316
45	9.655622153
46	9.846252422
47	10.58229098
48	10.98426646
49	10.74382689
50	11.44055386
51	11.39905294
52	11.0939868
53	11.77055985
54	11.23531845
55	12.71651185
56	13.19019995
57	12.21638926
58	12.07793269
59	13.08485981
60	12.9324727
61	14.40080888
62	13.38038
63	13.94486968
64	13.81400108
65	13.6283634
66	14.29439615
67	13.49752069
68	15.33277743
69	14.87662667
70	16.08630584
71	15.43775476
72	15.04502678
73	15.90536318
74	15.33295118
75	15.3731833
76	16.34572312
77	16.17835406
78	16.60055268
79	16.83717066
80	16.70523953
81	16.91566563
82	17.33241069
83	18.1890435
84	17.0382166
85	18.29697309
86	18.36647519
87	18.93154992
88	18.44790804
89	18.9850094
90	19.1335494
91	18.92873998
92	20.0039339
93	20.18020131
94	20.15010682
95	20.79341673
96	20.47924321
97	19.7617039
98	20.31336729
99	20.18769369
100	20.76329968
101	20.88981666
102	21.42105794
103	21.14453918
104	21.87901439
105	21.67270768
106	23.08364363
107	22.75835374
108	23.05508711
109	22.99209268
110	23.84108804
111	22.88213177
112	23.16917763
113	24.31614112
114	23.47465182
115	23.89630963
116	24.00359604
117	24.24000357
118	24.46044335
119	25.04709417
120	24.91133476
121	24.94702127
122	26.07151941
123	25.4927103
124	25.71022173
125	25.94990463
126	26.55633315
127	26.3632178
128	26.58118291
129	26.45916976
130	26.83786486
131	27.23008022
132	27.10555276
133	27.8657481
134	27.04080296
135	28.15327893
136	27.43177509
137	28.24951194
138	28.33586005
139	28.47395261
140	28.97155161
141	28.24282029
142	29.98829166
143	28.76751378
144	29.5682348
145	29.44203995
146	29.8245905
147	31.44358327
148	30.60869781
149	30.15684973
150	30.17969723
151	31.42509355
152	31.39072008
153	31.44096581
154	31.33531893
155	31.25626984
156	31.66240385
157	32.9000144
158	32.28936665
159	32.10778658
160	33.93464531
161	33.41255019
162	33.28067645
163	34.12924152
164	34.24321133
165	33.69037848
166	35.30305123
167	34.27248648
168	33.88775267
169	34.7278002
170	35.10376917
171	36.3539892
172	35.45290118
173	35.8284994
174	35.76142353
175	35.83299958
176	36.18263699
177	36.7938198
178	37.6376225
179	37.31369622
180	37.6039542
181	36.58433829
182	37.89194779
183	37.7099624
184	37.06637499
185	38.26051137
186	38.1206227
187	39.13229366
188	38.216959
189	38.58489412
190	38.53694525
191	39.11144802
192	39.60100589
193	39.23412591
194	40.21518658
195	39.39595861
196	39.67600779
197	41.12057885
198	40.09207627
199	41.00598736
200	40.80946197
